text,sentiment
"I absolutely love this product! It's amazing!",2
"Worst update ever, totally unusable now.",0
"Meh, it's fine I guess.",1
"Customer service was super helpful and friendly.",2
"I'm so frustrated with the constant crashes.",0
"Today was an average day, nothing special.",1
"Best purchase I've made all year!",2
"The packaging arrived damaged and I'm disappointed.",0
"It works as expected, nothing more.",1
"This coffee shop makes my mornings better.",2
"Traffic was horrible and ruined my mood.",0
"Meeting went okay, could have been worse.",1
"Such a thoughtful gift, I'm grateful!",2
"I feel sick of all the ads in this app.",0
"Weather is mild and comfortable today.",1
"These headphones sound incredible!",2
"Support ignored my ticket for days.",0
"Presentation was acceptable but not exciting.",1
"Gym session left me energized!",2
"Flight delay ruined my travel plans.",0
"Movie was average but watchable.",1
"Team crushed the release and I'm proud.",2
"Rude staff made dinner awful.",0
"Lecture was informative but dry.",1
